#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2068210453 ; 7.44743 ; 3.29849 ; 0 ; 0
2068210613 ; 7.4523 ; 3.29849 ; 0 ; 0
2068210773 ; 7.46326 ; 3.29849 ; 0 ; 0
2068210933 ; 7.473 ; 3.29849 ; 0 ; 0
2068211093 ; 8.9656 ; 3.29849 ; 0 ; 0
2068211253 ; 27.6548 ; 3.29849 ; 0 ; 0
2068211413 ; 28.6287 ; 3.29849 ; 0 ; 0
2068211573 ; 29.341 ; 3.29849 ; 0 ; 0
2068211733 ; 29.6478 ; 3.29849 ; 0 ; 0
2068211893 ; 29.6246 ; 3.29849 ; 0 ; 0
2068212053 ; 28.8065 ; 3.29849 ; 0 ; 0
2068212213 ; 29.5394 ; 3.29849 ; 0 ; 0
2068212373 ; 28.983 ; 3.29849 ; 0 ; 0
2068212533 ; 29.3008 ; 3.29849 ; 0 ; 0
2068212693 ; 29.0183 ; 3.29849 ; 0 ; 0
2068212853 ; 29.0244 ; 3.29849 ; 0 ; 0
2068213013 ; 30.3928 ; 3.29849 ; 0 ; 0
2068213173 ; 30.7179 ; 3.29849 ; 0 ; 0
2068213333 ; 29.0731 ; 3.29849 ; 0 ; 0
2068213493 ; 29.3154 ; 3.29849 ; 0 ; 0
2068213653 ; 34.296 ; 3.29849 ; 0 ; 0
2068213813 ; 30.7276 ; 3.29849 ; 0 ; 0
2068213973 ; 30.8506 ; 3.29849 ; 0 ; 0
2068214133 ; 31.3498 ; 3.29849 ; 0 ; 0
2068214293 ; 31.2706 ; 3.29849 ; 0 ; 0
2068214453 ; 31.7722 ; 3.29849 ; 0 ; 0
2068214613 ; 30.7642 ; 3.29849 ; 0 ; 0
2068214773 ; 30.976 ; 3.29849 ; 0 ; 0
2068214933 ; 26.0587 ; 3.29849 ; 0 ; 0
2068215093 ; 7.99772 ; 3.29849 ; 0 ; 0
2068215253 ; 7.47421 ; 3.29849 ; 0 ; 0
2068215413 ; 7.46691 ; 3.29849 ; 0 ; 0
2068215573 ; 7.46082 ; 3.29849 ; 0 ; 0
2068215733 ; 7.44865 ; 3.29849 ; 0 ; 0
2068215893 ; 7.47543 ; 3.29849 ; 0 ; 0
2068216053 ; 7.47056 ; 3.29849 ; 0 ; 0
2068216213 ; 7.46813 ; 3.29849 ; 0 ; 0
2068216373 ; 7.47543 ; 3.29849 ; 0 ; 0
2068216533 ; 7.45717 ; 3.29849 ; 0 ; 0
2068216693 ; 7.45595 ; 3.29849 ; 0 ; 0
2068216853 ; 7.46326 ; 3.29849 ; 0 ; 0
2068217013 ; 7.46082 ; 3.29849 ; 0 ; 0
2068217173 ; 7.46326 ; 3.29849 ; 0 ; 0
2068217333 ; 7.46082 ; 3.29849 ; 0 ; 0
2068217493 ; 7.4523 ; 3.29849 ; 0 ; 0
2068217653 ; 7.46934 ; 3.29849 ; 0 ; 0
2068217813 ; 7.45352 ; 3.29849 ; 0 ; 0
2068217973 ; 7.46691 ; 3.29849 ; 0 ; 0
2068218133 ; 7.4523 ; 3.29849 ; 0 ; 0
