#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
943694613 ; 7.48639 ; 3.3007 ; 0 ; 0
943694773 ; 11.3567 ; 3.3007 ; 0 ; 0
943694933 ; 29.1571 ; 3.3007 ; 0 ; 0
943695093 ; 28.468 ; 3.3007 ; 0 ; 0
943695253 ; 29.2971 ; 3.3007 ; 0 ; 0
943695413 ; 29.0634 ; 3.3007 ; 0 ; 0
943695573 ; 29.5942 ; 3.3007 ; 0 ; 0
943695733 ; 29.7707 ; 3.3007 ; 0 ; 0
943695893 ; 28.6153 ; 3.3007 ; 0 ; 0
943696053 ; 29.7744 ; 3.3007 ; 0 ; 0
943696213 ; 29.2314 ; 3.3007 ; 0 ; 0
943696373 ; 29.1315 ; 3.3007 ; 0 ; 0
943696533 ; 29.7111 ; 3.3007 ; 0 ; 0
943696693 ; 29.7245 ; 3.3007 ; 0 ; 0
943696853 ; 29.5698 ; 3.3007 ; 0 ; 0
943697013 ; 28.9635 ; 3.3007 ; 0 ; 0
943697173 ; 30.5036 ; 3.3007 ; 0 ; 0
943697333 ; 31.071 ; 3.3007 ; 0 ; 0
943697493 ; 28.7894 ; 3.3007 ; 0 ; 0
943697653 ; 29.7646 ; 3.3007 ; 0 ; 0
943697813 ; 33.8054 ; 3.3007 ; 0 ; 0
943697973 ; 30.5694 ; 3.3007 ; 0 ; 0
943698133 ; 32.4382 ; 3.3007 ; 0 ; 0
943698293 ; 31.6663 ; 3.3007 ; 0 ; 0
943698453 ; 31.4508 ; 3.3007 ; 0 ; 0
943698613 ; 31.7783 ; 3.3007 ; 0 ; 0
943698773 ; 30.6327 ; 3.3007 ; 0 ; 0
943698933 ; 30.8068 ; 3.3007 ; 0 ; 0
943699093 ; 28.9258 ; 3.3007 ; 0 ; 0
943699253 ; 28.5386 ; 3.3007 ; 0 ; 0
943699413 ; 28.4023 ; 3.3007 ; 0 ; 0
943699573 ; 10.0966 ; 3.3007 ; 0 ; 0
