#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
4874784533 ; 7.46691 ; 3.29735 ; 0 ; 0
4874784693 ; 7.46326 ; 3.29735 ; 0 ; 0
4874784853 ; 7.45717 ; 3.29735 ; 0 ; 0
4874785013 ; 7.4523 ; 3.29735 ; 0 ; 0
4874785173 ; 7.46813 ; 3.29735 ; 0 ; 0
4874785333 ; 7.46813 ; 3.29735 ; 0 ; 0
4874785493 ; 7.46082 ; 3.29735 ; 0 ; 0
4874785653 ; 7.4523 ; 3.29735 ; 0 ; 0
4874785813 ; 7.4596 ; 3.29735 ; 0 ; 0
4874785973 ; 7.45108 ; 3.29735 ; 0 ; 0
4874786133 ; 7.47787 ; 3.29735 ; 0 ; 0
4874786293 ; 7.473 ; 3.29735 ; 0 ; 0
4874786453 ; 7.46326 ; 3.29735 ; 0 ; 0
4874786613 ; 7.44256 ; 3.29735 ; 0 ; 0
4874786773 ; 7.45473 ; 3.29735 ; 0 ; 0
4874786933 ; 7.47787 ; 3.29735 ; 0 ; 0
4874787093 ; 7.44865 ; 3.29735 ; 0 ; 0
4874787253 ; 7.44256 ; 3.29735 ; 0 ; 0
4874787413 ; 7.47543 ; 3.29735 ; 0 ; 0
4874787573 ; 7.47056 ; 3.29735 ; 0 ; 0
4874787733 ; 7.45595 ; 3.29735 ; 0 ; 0
4874787893 ; 7.44378 ; 3.29735 ; 0 ; 0
4874788053 ; 7.47421 ; 3.29735 ; 0 ; 0
4874788213 ; 7.46691 ; 3.29735 ; 0 ; 0
4874788373 ; 7.44986 ; 3.29735 ; 0 ; 0
4874788533 ; 7.45108 ; 3.29735 ; 0 ; 0
4874788693 ; 7.47178 ; 3.29735 ; 0 ; 0
4874788853 ; 7.44621 ; 3.29735 ; 0 ; 0
4874789013 ; 7.46691 ; 3.29735 ; 0 ; 0
4874789173 ; 7.473 ; 3.29735 ; 0 ; 0
4874789333 ; 7.44499 ; 3.29735 ; 0 ; 0
4874789493 ; 7.45595 ; 3.29735 ; 0 ; 0
4874789653 ; 7.47178 ; 3.29735 ; 0 ; 0
4874789813 ; 7.46082 ; 3.29735 ; 0 ; 0
4874789973 ; 7.46204 ; 3.29735 ; 0 ; 0
4874790133 ; 7.44012 ; 3.29735 ; 0 ; 0
4874790293 ; 7.47421 ; 3.29735 ; 0 ; 0
4874790453 ; 7.45352 ; 3.29735 ; 0 ; 0
4874790613 ; 7.46326 ; 3.29735 ; 0 ; 0
4874790773 ; 7.45717 ; 3.29735 ; 0 ; 0
4874790933 ; 7.44743 ; 3.29735 ; 0 ; 0
4874791093 ; 7.46691 ; 3.29735 ; 0 ; 0
4874791253 ; 7.46569 ; 3.29735 ; 0 ; 0
4874791413 ; 7.46934 ; 3.29735 ; 0 ; 0
4874791573 ; 7.44865 ; 3.29735 ; 0 ; 0
4874791733 ; 7.45595 ; 3.29735 ; 0 ; 0
4874791893 ; 7.45595 ; 3.29735 ; 0 ; 0
4874792053 ; 7.473 ; 3.29735 ; 0 ; 0
4874792213 ; 7.45717 ; 3.29735 ; 0 ; 0
4874792373 ; 7.44012 ; 3.29735 ; 0 ; 0
4874792533 ; 7.46934 ; 3.29735 ; 0 ; 0
4874792693 ; 7.46204 ; 3.29735 ; 0 ; 0
4874792853 ; 7.45595 ; 3.29735 ; 0 ; 0
4874793013 ; 7.44743 ; 3.29735 ; 0 ; 0
4874793173 ; 7.46691 ; 3.29735 ; 0 ; 0
4874793333 ; 7.44986 ; 3.29735 ; 0 ; 0
4874793493 ; 7.47421 ; 3.29735 ; 0 ; 0
4874793653 ; 7.4596 ; 3.29735 ; 0 ; 0
4874793813 ; 7.45717 ; 3.29735 ; 0 ; 0
4874793973 ; 7.45473 ; 3.29735 ; 0 ; 0
4874794133 ; 7.47178 ; 3.29735 ; 0 ; 0
4874794293 ; 7.46569 ; 3.29735 ; 0 ; 0
4874794453 ; 7.46204 ; 3.29735 ; 0 ; 0
4874794613 ; 7.4596 ; 3.29735 ; 0 ; 0
4874794773 ; 7.45839 ; 3.29735 ; 0 ; 0
4874794933 ; 7.4596 ; 3.29735 ; 0 ; 0
4874795093 ; 7.46326 ; 3.29735 ; 0 ; 0
4874795253 ; 7.43647 ; 3.29735 ; 0 ; 0
4874795413 ; 7.46691 ; 3.29735 ; 0 ; 0
4874795573 ; 7.46204 ; 3.29735 ; 0 ; 0
4874795733 ; 7.46934 ; 3.29735 ; 0 ; 0
4874795893 ; 7.44743 ; 3.29735 ; 0 ; 0
4874796053 ; 7.45595 ; 3.29735 ; 0 ; 0
4874796213 ; 7.45839 ; 3.29735 ; 0 ; 0
4874796373 ; 7.46813 ; 3.29735 ; 0 ; 0
4874796533 ; 7.46691 ; 3.29735 ; 0 ; 0
4874796693 ; 7.44621 ; 3.29735 ; 0 ; 0
4874796853 ; 7.4523 ; 3.29735 ; 0 ; 0
4874797013 ; 7.47178 ; 3.29735 ; 0 ; 0
4874797173 ; 7.45473 ; 3.29735 ; 0 ; 0
4874797333 ; 7.44621 ; 3.29735 ; 0 ; 0
4874797493 ; 7.46447 ; 3.29735 ; 0 ; 0
4874797653 ; 7.44865 ; 3.29735 ; 0 ; 0
4874797813 ; 7.48395 ; 3.29735 ; 0 ; 0
4874797973 ; 7.4523 ; 3.29735 ; 0 ; 0
4874798133 ; 7.45352 ; 3.29735 ; 0 ; 0
4874798293 ; 7.45595 ; 3.29735 ; 0 ; 0
4874798453 ; 7.46813 ; 3.29735 ; 0 ; 0
4874798613 ; 7.44865 ; 3.29735 ; 0 ; 0
4874798773 ; 7.4596 ; 3.29735 ; 0 ; 0
4874798933 ; 7.45108 ; 3.29735 ; 0 ; 0
4874799093 ; 7.47056 ; 3.29735 ; 0 ; 0
4874799253 ; 7.47056 ; 3.29735 ; 0 ; 0
4874799413 ; 7.46082 ; 3.29735 ; 0 ; 0
4874799573 ; 7.46082 ; 3.29735 ; 0 ; 0
4874799733 ; 7.45352 ; 3.29735 ; 0 ; 0
4874799893 ; 7.47421 ; 3.29735 ; 0 ; 0
4874800053 ; 7.44621 ; 3.29735 ; 0 ; 0
4874800213 ; 7.47421 ; 3.29735 ; 0 ; 0
4874800373 ; 7.44743 ; 3.29735 ; 0 ; 0
4874800533 ; 7.4523 ; 3.29735 ; 0 ; 0
4874800693 ; 7.46813 ; 3.29735 ; 0 ; 0
4874800853 ; 7.473 ; 3.29735 ; 0 ; 0
4874801013 ; 7.44621 ; 3.29735 ; 0 ; 0
4874801173 ; 7.4523 ; 3.29735 ; 0 ; 0
4874801333 ; 7.47056 ; 3.29735 ; 0 ; 0
4874801493 ; 7.473 ; 3.29735 ; 0 ; 0
4874801653 ; 7.45352 ; 3.29735 ; 0 ; 0
4874801813 ; 7.4523 ; 3.29735 ; 0 ; 0
4874801973 ; 7.47178 ; 3.29735 ; 0 ; 0
4874802133 ; 7.44743 ; 3.29735 ; 0 ; 0
