#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1774230293 ; 29.5163 ; 3.30437 ; 0 ; 0
1774230453 ; 29.755 ; 3.30437 ; 0 ; 0
1774230613 ; 30.3053 ; 3.30437 ; 0 ; 0
1774230773 ; 29.6722 ; 3.30437 ; 0 ; 0
1774230933 ; 31.0333 ; 3.30437 ; 0 ; 0
1774231093 ; 29.436 ; 3.30437 ; 0 ; 0
1774231253 ; 30.2517 ; 3.30437 ; 0 ; 0
1774231413 ; 30.3686 ; 3.30437 ; 0 ; 0
1774231573 ; 31.3632 ; 3.30437 ; 0 ; 0
1774231733 ; 31.0686 ; 3.30437 ; 0 ; 0
1774231893 ; 31.3474 ; 3.30437 ; 0 ; 0
1774232053 ; 31.5799 ; 3.30437 ; 0 ; 0
1774232213 ; 31.1879 ; 3.30437 ; 0 ; 0
1774232373 ; 31.1319 ; 3.30437 ; 0 ; 0
1774232533 ; 31.5166 ; 3.30437 ; 0 ; 0
1774232693 ; 31.3803 ; 3.30437 ; 0 ; 0
1774232853 ; 31.0321 ; 3.30437 ; 0 ; 0
1774233013 ; 31.222 ; 3.30437 ; 0 ; 0
1774233173 ; 31.5276 ; 3.30437 ; 0 ; 0
1774233333 ; 31.1964 ; 3.30437 ; 0 ; 0
1774233493 ; 31.0333 ; 3.30437 ; 0 ; 0
1774233653 ; 31.3303 ; 3.30437 ; 0 ; 0
1774233813 ; 31.4387 ; 3.30437 ; 0 ; 0
1774233973 ; 31.1477 ; 3.30437 ; 0 ; 0
1774234133 ; 31.2123 ; 3.30437 ; 0 ; 0
1774234293 ; 31.5288 ; 3.30437 ; 0 ; 0
1774234453 ; 31.3973 ; 3.30437 ; 0 ; 0
1774234613 ; 31.1015 ; 3.30437 ; 0 ; 0
1774234773 ; 31.295 ; 3.30437 ; 0 ; 0
1774234933 ; 31.597 ; 3.30437 ; 0 ; 0
1774235093 ; 31.3097 ; 3.30437 ; 0 ; 0
1774235253 ; 31.1453 ; 3.30437 ; 0 ; 0
1774235413 ; 31.4862 ; 3.30437 ; 0 ; 0
1774235573 ; 31.5276 ; 3.30437 ; 0 ; 0
1774235733 ; 31.1587 ; 3.30437 ; 0 ; 0
1774235893 ; 31.1855 ; 3.30437 ; 0 ; 0
1774236053 ; 31.5958 ; 3.30437 ; 0 ; 0
1774236213 ; 31.3742 ; 3.30437 ; 0 ; 0
1774236373 ; 31.0966 ; 3.30437 ; 0 ; 0
1774236533 ; 31.3328 ; 3.30437 ; 0 ; 0
1774236693 ; 31.5592 ; 3.30437 ; 0 ; 0
1774236853 ; 31.1782 ; 3.30437 ; 0 ; 0
1774237013 ; 31.0345 ; 3.30437 ; 0 ; 0
1774237173 ; 31.3973 ; 3.30437 ; 0 ; 0
1774237333 ; 31.3815 ; 3.30437 ; 0 ; 0
1774237493 ; 31.0455 ; 3.30437 ; 0 ; 0
1774237653 ; 31.1258 ; 3.30437 ; 0 ; 0
1774237813 ; 31.4667 ; 3.30437 ; 0 ; 0
1774237973 ; 31.194 ; 3.30437 ; 0 ; 0
1774238133 ; 31.0601 ; 3.30437 ; 0 ; 0
1774238293 ; 31.4363 ; 3.30437 ; 0 ; 0
1774238453 ; 31.5775 ; 3.30437 ; 0 ; 0
1774238613 ; 31.2037 ; 3.30437 ; 0 ; 0
1774238773 ; 31.1368 ; 3.30437 ; 0 ; 0
1774238933 ; 31.513 ; 3.30437 ; 0 ; 0
1774239093 ; 31.4375 ; 3.30437 ; 0 ; 0
1774239253 ; 31.0917 ; 3.30437 ; 0 ; 0
1774239413 ; 31.2098 ; 3.30437 ; 0 ; 0
1774239573 ; 31.5519 ; 3.30437 ; 0 ; 0
1774239733 ; 31.222 ; 3.30437 ; 0 ; 0
1774239893 ; 30.998 ; 3.30437 ; 0 ; 0
1774240053 ; 31.4168 ; 3.30437 ; 0 ; 0
1774240213 ; 30.7764 ; 3.30437 ; 0 ; 0
1774240373 ; 29.3715 ; 3.30437 ; 0 ; 0
1774240533 ; 29.9765 ; 3.30437 ; 0 ; 0
1774240693 ; 29.1474 ; 3.30437 ; 0 ; 0
1774240853 ; 30.2846 ; 3.30437 ; 0 ; 0
1774241013 ; 30.6827 ; 3.30437 ; 0 ; 0
1774241173 ; 29.173 ; 3.30437 ; 0 ; 0
1774241333 ; 30.1957 ; 3.30437 ; 0 ; 0
1774241493 ; 30.584 ; 3.30437 ; 0 ; 0
1774241653 ; 31.4156 ; 3.30437 ; 0 ; 0
1774241813 ; 31.0589 ; 3.30437 ; 0 ; 0
1774241973 ; 31.1063 ; 3.30437 ; 0 ; 0
1774242133 ; 31.5337 ; 3.30437 ; 0 ; 0
