#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2010948373 ; 7.44621 ; 3.29819 ; 0 ; 0
2010948533 ; 7.46569 ; 3.29819 ; 0 ; 0
2010948693 ; 7.46204 ; 3.29819 ; 0 ; 0
2010948853 ; 7.45717 ; 3.29819 ; 0 ; 0
2010949013 ; 7.46447 ; 3.29819 ; 0 ; 0
2010949173 ; 7.4523 ; 3.29819 ; 0 ; 0
2010949333 ; 7.46569 ; 3.29819 ; 0 ; 0
2010949493 ; 7.473 ; 3.29819 ; 0 ; 0
2010949653 ; 7.46813 ; 3.29819 ; 0 ; 0
2010949813 ; 7.45108 ; 3.29819 ; 0 ; 0
2010949973 ; 7.46569 ; 3.29819 ; 0 ; 0
2010950133 ; 7.46569 ; 3.29819 ; 0 ; 0
2010950293 ; 7.46569 ; 3.29819 ; 0 ; 0
2010950453 ; 7.44743 ; 3.29819 ; 0 ; 0
2010950613 ; 7.46691 ; 3.29819 ; 0 ; 0
2010950773 ; 7.46082 ; 3.29819 ; 0 ; 0
2010950933 ; 7.65683 ; 3.29819 ; 0 ; 0
2010951093 ; 25.6204 ; 3.29819 ; 0 ; 0
2010951253 ; 28.7675 ; 3.29819 ; 0 ; 0
2010951413 ; 29.0902 ; 3.29819 ; 0 ; 0
2010951573 ; 28.9295 ; 3.29819 ; 0 ; 0
2010951733 ; 29.6295 ; 3.29819 ; 0 ; 0
2010951893 ; 28.8552 ; 3.29819 ; 0 ; 0
2010952053 ; 28.983 ; 3.29819 ; 0 ; 0
2010952213 ; 27.6304 ; 3.29819 ; 0 ; 0
2010952373 ; 8.77933 ; 3.29819 ; 0 ; 0
2010952533 ; 7.48517 ; 3.29819 ; 0 ; 0
2010952693 ; 7.4803 ; 3.29819 ; 0 ; 0
2010952853 ; 7.47787 ; 3.29819 ; 0 ; 0
2010953013 ; 7.45839 ; 3.29819 ; 0 ; 0
2010953173 ; 7.46569 ; 3.29819 ; 0 ; 0
2010953333 ; 7.473 ; 3.29819 ; 0 ; 0
2010953493 ; 7.46934 ; 3.29819 ; 0 ; 0
2010953653 ; 7.4596 ; 3.29819 ; 0 ; 0
2010953813 ; 7.46082 ; 3.29819 ; 0 ; 0
2010953973 ; 7.46934 ; 3.29819 ; 0 ; 0
2010954133 ; 7.46813 ; 3.29819 ; 0 ; 0
2010954293 ; 7.48273 ; 3.29819 ; 0 ; 0
2010954453 ; 7.46082 ; 3.29819 ; 0 ; 0
2010954613 ; 7.44986 ; 3.29819 ; 0 ; 0
2010954773 ; 7.46569 ; 3.29819 ; 0 ; 0
2010954933 ; 7.46934 ; 3.29819 ; 0 ; 0
2010955093 ; 7.45839 ; 3.29819 ; 0 ; 0
2010955253 ; 7.44986 ; 3.29819 ; 0 ; 0
2010955413 ; 7.45473 ; 3.29819 ; 0 ; 0
2010955573 ; 7.47543 ; 3.29819 ; 0 ; 0
2010955733 ; 7.46569 ; 3.29819 ; 0 ; 0
2010955893 ; 7.4596 ; 3.29819 ; 0 ; 0
2010956053 ; 7.47421 ; 3.29819 ; 0 ; 0
2010956213 ; 7.44865 ; 3.29819 ; 0 ; 0
2010956373 ; 7.46691 ; 3.29819 ; 0 ; 0
2010956533 ; 7.45595 ; 3.29819 ; 0 ; 0
2010956693 ; 7.46569 ; 3.29819 ; 0 ; 0
2010956853 ; 7.46691 ; 3.29819 ; 0 ; 0
2010957013 ; 7.47178 ; 3.29819 ; 0 ; 0
2010957173 ; 7.46813 ; 3.29819 ; 0 ; 0
2010957333 ; 7.45717 ; 3.29819 ; 0 ; 0
2010957493 ; 7.45595 ; 3.29819 ; 0 ; 0
2010957653 ; 7.47178 ; 3.29819 ; 0 ; 0
2010957813 ; 7.47787 ; 3.29819 ; 0 ; 0
2010957973 ; 7.45839 ; 3.29819 ; 0 ; 0
2010958133 ; 7.44621 ; 3.29819 ; 0 ; 0
2010958293 ; 7.47908 ; 3.29819 ; 0 ; 0
2010958453 ; 7.4596 ; 3.29819 ; 0 ; 0
2010958613 ; 7.47056 ; 3.29819 ; 0 ; 0
2010958773 ; 7.45473 ; 3.29819 ; 0 ; 0
2010958933 ; 7.45839 ; 3.29819 ; 0 ; 0
2010959093 ; 7.46934 ; 3.29819 ; 0 ; 0
2010959253 ; 7.45717 ; 3.29819 ; 0 ; 0
2010959413 ; 7.46447 ; 3.29819 ; 0 ; 0
2010959573 ; 7.45717 ; 3.29819 ; 0 ; 0
2010959733 ; 7.46204 ; 3.29819 ; 0 ; 0
2010959893 ; 7.47056 ; 3.29819 ; 0 ; 0
2010960053 ; 7.46326 ; 3.29819 ; 0 ; 0
2010960213 ; 7.44865 ; 3.29819 ; 0 ; 0
2010960373 ; 7.45595 ; 3.29819 ; 0 ; 0
2010960533 ; 7.47056 ; 3.29819 ; 0 ; 0
2010960693 ; 7.45839 ; 3.29819 ; 0 ; 0
2010960853 ; 7.47056 ; 3.29819 ; 0 ; 0
2010961013 ; 13.2912 ; 3.29819 ; 0 ; 0
2010961173 ; 28.7821 ; 3.29819 ; 0 ; 0
2010961333 ; 28.4741 ; 3.29819 ; 0 ; 0
2010961493 ; 29.2557 ; 3.29819 ; 0 ; 0
2010961653 ; 29.0488 ; 3.29819 ; 0 ; 0
2010961813 ; 29.2362 ; 3.29819 ; 0 ; 0
2010961973 ; 28.7809 ; 3.29819 ; 0 ; 0
2010962133 ; 29.1522 ; 3.29819 ; 0 ; 0
2010962293 ; 20.3062 ; 3.29819 ; 0 ; 0
2010962453 ; 7.59961 ; 3.29819 ; 0 ; 0
2010962613 ; 7.46691 ; 3.29819 ; 0 ; 0
2010962773 ; 7.46691 ; 3.29819 ; 0 ; 0
2010962933 ; 7.47543 ; 3.29819 ; 0 ; 0
2010963093 ; 7.45595 ; 3.29819 ; 0 ; 0
2010963253 ; 7.46934 ; 3.29819 ; 0 ; 0
2010963413 ; 7.47056 ; 3.29819 ; 0 ; 0
2010963573 ; 7.47056 ; 3.29819 ; 0 ; 0
2010963733 ; 7.45717 ; 3.29819 ; 0 ; 0
2010963893 ; 7.45717 ; 3.29819 ; 0 ; 0
2010964053 ; 7.46934 ; 3.29819 ; 0 ; 0
2010964213 ; 7.46813 ; 3.29819 ; 0 ; 0
2010964373 ; 7.44256 ; 3.29819 ; 0 ; 0
2010964533 ; 7.46447 ; 3.29819 ; 0 ; 0
2010964693 ; 7.44621 ; 3.29819 ; 0 ; 0
2010964853 ; 7.4876 ; 3.29819 ; 0 ; 0
2010965013 ; 7.45717 ; 3.29819 ; 0 ; 0
2010965173 ; 7.44256 ; 3.29819 ; 0 ; 0
2010965333 ; 7.46691 ; 3.29819 ; 0 ; 0
2010965493 ; 7.46082 ; 3.29819 ; 0 ; 0
2010965653 ; 7.46813 ; 3.29819 ; 0 ; 0
2010965813 ; 7.46691 ; 3.29819 ; 0 ; 0
2010965973 ; 7.45352 ; 3.29819 ; 0 ; 0
2010966133 ; 7.47665 ; 3.29819 ; 0 ; 0
2010966293 ; 7.46691 ; 3.29819 ; 0 ; 0
2010966453 ; 7.46934 ; 3.29819 ; 0 ; 0
2010966613 ; 7.44378 ; 3.29819 ; 0 ; 0
2010966773 ; 7.47178 ; 3.29819 ; 0 ; 0
2010966933 ; 7.46569 ; 3.29819 ; 0 ; 0
2010967093 ; 7.46569 ; 3.29819 ; 0 ; 0
2010967253 ; 7.46082 ; 3.29819 ; 0 ; 0
2010967413 ; 7.47543 ; 3.29819 ; 0 ; 0
2010967573 ; 7.45839 ; 3.29819 ; 0 ; 0
2010967733 ; 7.45839 ; 3.29819 ; 0 ; 0
2010967893 ; 7.46813 ; 3.29819 ; 0 ; 0
2010968053 ; 7.46691 ; 3.29819 ; 0 ; 0
2010968213 ; 7.45717 ; 3.29819 ; 0 ; 0
2010968373 ; 7.47908 ; 3.29819 ; 0 ; 0
2010968533 ; 7.46082 ; 3.29819 ; 0 ; 0
2010968693 ; 7.4523 ; 3.29819 ; 0 ; 0
2010968853 ; 7.47787 ; 3.29819 ; 0 ; 0
2010969013 ; 7.46447 ; 3.29819 ; 0 ; 0
2010969173 ; 7.4523 ; 3.29819 ; 0 ; 0
2010969333 ; 7.46934 ; 3.29819 ; 0 ; 0
2010969493 ; 7.45595 ; 3.29819 ; 0 ; 0
2010969653 ; 7.48517 ; 3.29819 ; 0 ; 0
2010969813 ; 7.46447 ; 3.29819 ; 0 ; 0
2010969973 ; 7.46691 ; 3.29819 ; 0 ; 0
2010970133 ; 7.45839 ; 3.29819 ; 0 ; 0
2010970293 ; 7.45717 ; 3.29819 ; 0 ; 0
2010970453 ; 7.47178 ; 3.29819 ; 0 ; 0
2010970613 ; 7.45839 ; 3.29819 ; 0 ; 0
2010970773 ; 7.47543 ; 3.29819 ; 0 ; 0
2010970933 ; 7.47787 ; 3.29819 ; 0 ; 0
2010971093 ; 24.3689 ; 3.29819 ; 0 ; 0
2010971253 ; 28.7481 ; 3.29819 ; 0 ; 0
2010971413 ; 29.0171 ; 3.29819 ; 0 ; 0
2010971573 ; 28.8734 ; 3.29819 ; 0 ; 0
2010971733 ; 29.6149 ; 3.29819 ; 0 ; 0
2010971893 ; 29.0062 ; 3.29819 ; 0 ; 0
2010972053 ; 28.9769 ; 3.29819 ; 0 ; 0
2010972213 ; 28.2769 ; 3.29819 ; 0 ; 0
2010972373 ; 9.54024 ; 3.29819 ; 0 ; 0
2010972533 ; 7.48639 ; 3.29819 ; 0 ; 0
2010972693 ; 7.48639 ; 3.29819 ; 0 ; 0
2010972853 ; 7.46447 ; 3.29819 ; 0 ; 0
2010973013 ; 7.46691 ; 3.29819 ; 0 ; 0
2010973173 ; 7.46934 ; 3.29819 ; 0 ; 0
2010973333 ; 7.46204 ; 3.29819 ; 0 ; 0
2010973493 ; 7.46813 ; 3.29819 ; 0 ; 0
2010973653 ; 7.46326 ; 3.29819 ; 0 ; 0
2010973813 ; 7.46326 ; 3.29819 ; 0 ; 0
2010973973 ; 7.44256 ; 3.29819 ; 0 ; 0
2010974133 ; 7.48395 ; 3.29819 ; 0 ; 0
2010974293 ; 7.473 ; 3.29819 ; 0 ; 0
2010974453 ; 7.44986 ; 3.29819 ; 0 ; 0
2010974613 ; 7.46934 ; 3.29819 ; 0 ; 0
2010974773 ; 7.46326 ; 3.29819 ; 0 ; 0
2010974933 ; 7.46447 ; 3.29819 ; 0 ; 0
2010975093 ; 7.44012 ; 3.29819 ; 0 ; 0
2010975253 ; 7.47665 ; 3.29819 ; 0 ; 0
2010975413 ; 7.47178 ; 3.29819 ; 0 ; 0
2010975573 ; 7.46447 ; 3.29819 ; 0 ; 0
2010975733 ; 7.45352 ; 3.29819 ; 0 ; 0
2010975893 ; 7.47056 ; 3.29819 ; 0 ; 0
2010976053 ; 7.46813 ; 3.29819 ; 0 ; 0
2010976213 ; 7.46082 ; 3.29819 ; 0 ; 0
2010976373 ; 7.46569 ; 3.29819 ; 0 ; 0
2010976533 ; 7.46204 ; 3.29819 ; 0 ; 0
2010976693 ; 7.46082 ; 3.29819 ; 0 ; 0
2010976853 ; 7.45717 ; 3.29819 ; 0 ; 0
2010977013 ; 7.47178 ; 3.29819 ; 0 ; 0
2010977173 ; 7.46204 ; 3.29819 ; 0 ; 0
2010977333 ; 7.46326 ; 3.29819 ; 0 ; 0
2010977493 ; 7.473 ; 3.29819 ; 0 ; 0
2010977653 ; 7.45595 ; 3.29819 ; 0 ; 0
2010977813 ; 7.47056 ; 3.29819 ; 0 ; 0
2010977973 ; 7.45839 ; 3.29819 ; 0 ; 0
2010978133 ; 7.46447 ; 3.29819 ; 0 ; 0
2010978293 ; 7.46691 ; 3.29819 ; 0 ; 0
2010978453 ; 7.47178 ; 3.29819 ; 0 ; 0
2010978613 ; 7.44256 ; 3.29819 ; 0 ; 0
2010978773 ; 7.45473 ; 3.29819 ; 0 ; 0
2010978933 ; 7.48882 ; 3.29819 ; 0 ; 0
2010979093 ; 7.45717 ; 3.29819 ; 0 ; 0
2010979253 ; 7.44986 ; 3.29819 ; 0 ; 0
2010979413 ; 7.46691 ; 3.29819 ; 0 ; 0
2010979573 ; 7.46934 ; 3.29819 ; 0 ; 0
2010979733 ; 7.47056 ; 3.29819 ; 0 ; 0
2010979893 ; 7.47421 ; 3.29819 ; 0 ; 0
2010980053 ; 7.44012 ; 3.29819 ; 0 ; 0
2010980213 ; 7.45108 ; 3.29819 ; 0 ; 0
2010980373 ; 7.46569 ; 3.29819 ; 0 ; 0
2010980533 ; 7.46813 ; 3.29819 ; 0 ; 0
2010980693 ; 7.4596 ; 3.29819 ; 0 ; 0
2010980853 ; 7.4523 ; 3.29819 ; 0 ; 0
2010981013 ; 11.8863 ; 3.29819 ; 0 ; 0
2010981173 ; 28.6324 ; 3.29819 ; 0 ; 0
2010981333 ; 28.5009 ; 3.29819 ; 0 ; 0
2010981493 ; 29.3203 ; 3.29819 ; 0 ; 0
2010981653 ; 29.0147 ; 3.29819 ; 0 ; 0
2010981813 ; 29.2643 ; 3.29819 ; 0 ; 0
2010981973 ; 28.8978 ; 3.29819 ; 0 ; 0
2010982133 ; 29.0975 ; 3.29819 ; 0 ; 0
2010982293 ; 21.7574 ; 3.29819 ; 0 ; 0
2010982453 ; 7.613 ; 3.29819 ; 0 ; 0
2010982613 ; 7.47665 ; 3.29819 ; 0 ; 0
2010982773 ; 7.473 ; 3.29819 ; 0 ; 0
2010982933 ; 7.46204 ; 3.29819 ; 0 ; 0
2010983093 ; 7.46813 ; 3.29819 ; 0 ; 0
2010983253 ; 7.47908 ; 3.29819 ; 0 ; 0
2010983413 ; 7.47543 ; 3.29819 ; 0 ; 0
2010983573 ; 7.45595 ; 3.29819 ; 0 ; 0
2010983733 ; 7.45839 ; 3.29819 ; 0 ; 0
2010983893 ; 7.46204 ; 3.29819 ; 0 ; 0
2010984053 ; 7.46326 ; 3.29819 ; 0 ; 0
2010984213 ; 7.47421 ; 3.29819 ; 0 ; 0
2010984373 ; 7.44256 ; 3.29819 ; 0 ; 0
2010984533 ; 7.46813 ; 3.29819 ; 0 ; 0
2010984693 ; 7.473 ; 3.29819 ; 0 ; 0
2010984853 ; 7.46204 ; 3.29819 ; 0 ; 0
2010985013 ; 7.46813 ; 3.29819 ; 0 ; 0
2010985173 ; 7.44986 ; 3.29819 ; 0 ; 0
2010985333 ; 7.46569 ; 3.29819 ; 0 ; 0
2010985493 ; 7.46934 ; 3.29819 ; 0 ; 0
2010985653 ; 7.46447 ; 3.29819 ; 0 ; 0
2010985813 ; 7.45595 ; 3.29819 ; 0 ; 0
2010985973 ; 7.44865 ; 3.29819 ; 0 ; 0
2010986133 ; 7.47421 ; 3.29819 ; 0 ; 0
2010986293 ; 7.46813 ; 3.29819 ; 0 ; 0
2010986453 ; 7.44621 ; 3.29819 ; 0 ; 0
2010986613 ; 7.45595 ; 3.29819 ; 0 ; 0
2010986773 ; 7.46447 ; 3.29819 ; 0 ; 0
2010986933 ; 7.49126 ; 3.29819 ; 0 ; 0
2010987093 ; 7.43769 ; 3.29819 ; 0 ; 0
2010987253 ; 7.4596 ; 3.29819 ; 0 ; 0
2010987413 ; 7.47908 ; 3.29819 ; 0 ; 0
2010987573 ; 7.45717 ; 3.29819 ; 0 ; 0
2010987733 ; 7.46447 ; 3.29819 ; 0 ; 0
2010987893 ; 7.46691 ; 3.29819 ; 0 ; 0
2010988053 ; 7.45717 ; 3.29819 ; 0 ; 0
2010988213 ; 7.44621 ; 3.29819 ; 0 ; 0
2010988373 ; 7.48273 ; 3.29819 ; 0 ; 0
