#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
999523093 ; 7.60083 ; 3.29803 ; 0 ; 0
999523253 ; 7.61179 ; 3.29803 ; 0 ; 0
999523413 ; 7.62152 ; 3.29803 ; 0 ; 0
999523573 ; 7.62274 ; 3.29803 ; 0 ; 0
999523733 ; 7.60935 ; 3.29803 ; 0 ; 0
999523893 ; 7.61787 ; 3.29803 ; 0 ; 0
999524053 ; 7.63005 ; 3.29803 ; 0 ; 0
999524213 ; 7.61422 ; 3.29803 ; 0 ; 0
999524373 ; 7.62031 ; 3.29803 ; 0 ; 0
999524533 ; 7.62639 ; 3.29803 ; 0 ; 0
999524693 ; 7.613 ; 3.29803 ; 0 ; 0
999524853 ; 7.61057 ; 3.29803 ; 0 ; 0
999525013 ; 7.62761 ; 3.29803 ; 0 ; 0
999525173 ; 7.62152 ; 3.29803 ; 0 ; 0
999525333 ; 7.61057 ; 3.29803 ; 0 ; 0
999525493 ; 7.62274 ; 3.29803 ; 0 ; 0
999525653 ; 7.62761 ; 3.29803 ; 0 ; 0
999525813 ; 7.60935 ; 3.29803 ; 0 ; 0
999525973 ; 8.58088 ; 3.29803 ; 0 ; 0
999526133 ; 28.3025 ; 3.29803 ; 0 ; 0
999526293 ; 28.9051 ; 3.29803 ; 0 ; 0
999526453 ; 30.1238 ; 3.29803 ; 0 ; 0
999526613 ; 29.5163 ; 3.29803 ; 0 ; 0
999526773 ; 29.2947 ; 3.29803 ; 0 ; 0
999526933 ; 28.966 ; 3.29803 ; 0 ; 0
999527093 ; 26.5542 ; 3.29803 ; 0 ; 0
999527253 ; 8.29965 ; 3.29803 ; 0 ; 0
999527413 ; 7.69579 ; 3.29803 ; 0 ; 0
999527573 ; 7.68849 ; 3.29803 ; 0 ; 0
999527733 ; 7.69457 ; 3.29803 ; 0 ; 0
999527893 ; 7.70553 ; 3.29803 ; 0 ; 0
999528053 ; 7.6897 ; 3.29803 ; 0 ; 0
999528213 ; 7.70796 ; 3.29803 ; 0 ; 0
999528373 ; 7.67875 ; 3.29803 ; 0 ; 0
999528533 ; 7.72623 ; 3.29803 ; 0 ; 0
999528693 ; 7.68605 ; 3.29803 ; 0 ; 0
999528853 ; 7.6897 ; 3.29803 ; 0 ; 0
999529013 ; 7.69092 ; 3.29803 ; 0 ; 0
999529173 ; 7.68362 ; 3.29803 ; 0 ; 0
999529333 ; 7.69336 ; 3.29803 ; 0 ; 0
999529493 ; 7.67509 ; 3.29803 ; 0 ; 0
999529653 ; 7.69214 ; 3.29803 ; 0 ; 0
999529813 ; 7.71649 ; 3.29803 ; 0 ; 0
999529973 ; 7.68483 ; 3.29803 ; 0 ; 0
999530133 ; 7.6897 ; 3.29803 ; 0 ; 0
999530293 ; 7.69579 ; 3.29803 ; 0 ; 0
999530453 ; 7.69822 ; 3.29803 ; 0 ; 0
999530613 ; 7.67996 ; 3.29803 ; 0 ; 0
999530773 ; 7.69944 ; 3.29803 ; 0 ; 0
999530933 ; 7.69214 ; 3.29803 ; 0 ; 0
999531093 ; 7.68483 ; 3.29803 ; 0 ; 0
999531253 ; 7.68727 ; 3.29803 ; 0 ; 0
999531413 ; 7.70309 ; 3.29803 ; 0 ; 0
999531573 ; 7.70309 ; 3.29803 ; 0 ; 0
999531733 ; 7.68605 ; 3.29803 ; 0 ; 0
999531893 ; 7.68727 ; 3.29803 ; 0 ; 0
999532053 ; 7.69457 ; 3.29803 ; 0 ; 0
999532213 ; 7.69701 ; 3.29803 ; 0 ; 0
999532373 ; 7.67266 ; 3.29803 ; 0 ; 0
999532533 ; 7.70431 ; 3.29803 ; 0 ; 0
999532693 ; 7.68483 ; 3.29803 ; 0 ; 0
999532853 ; 7.68362 ; 3.29803 ; 0 ; 0
999533013 ; 7.68727 ; 3.29803 ; 0 ; 0
999533173 ; 7.70309 ; 3.29803 ; 0 ; 0
999533333 ; 7.69457 ; 3.29803 ; 0 ; 0
999533493 ; 7.69579 ; 3.29803 ; 0 ; 0
999533653 ; 7.68362 ; 3.29803 ; 0 ; 0
999533813 ; 7.70796 ; 3.29803 ; 0 ; 0
999533973 ; 7.68483 ; 3.29803 ; 0 ; 0
999534133 ; 7.68118 ; 3.29803 ; 0 ; 0
999534293 ; 7.68849 ; 3.29803 ; 0 ; 0
999534453 ; 7.69092 ; 3.29803 ; 0 ; 0
999534613 ; 7.6897 ; 3.29803 ; 0 ; 0
999534773 ; 7.70188 ; 3.29803 ; 0 ; 0
999534933 ; 7.69579 ; 3.29803 ; 0 ; 0
999535093 ; 7.68605 ; 3.29803 ; 0 ; 0
999535253 ; 7.69336 ; 3.29803 ; 0 ; 0
999535413 ; 7.69701 ; 3.29803 ; 0 ; 0
999535573 ; 7.67996 ; 3.29803 ; 0 ; 0
999535733 ; 7.68483 ; 3.29803 ; 0 ; 0
999535893 ; 7.68483 ; 3.29803 ; 0 ; 0
999536053 ; 7.70188 ; 3.29803 ; 0 ; 0
999536213 ; 7.6897 ; 3.29803 ; 0 ; 0
999536373 ; 7.69701 ; 3.29803 ; 0 ; 0
999536533 ; 7.69579 ; 3.29803 ; 0 ; 0
999536693 ; 7.69092 ; 3.29803 ; 0 ; 0
999536853 ; 7.67875 ; 3.29803 ; 0 ; 0
999537013 ; 7.69092 ; 3.29803 ; 0 ; 0
999537173 ; 7.69822 ; 3.29803 ; 0 ; 0
999537333 ; 7.68605 ; 3.29803 ; 0 ; 0
999537493 ; 7.69579 ; 3.29803 ; 0 ; 0
999537653 ; 7.6897 ; 3.29803 ; 0 ; 0
999537813 ; 7.69822 ; 3.29803 ; 0 ; 0
999537973 ; 7.68849 ; 3.29803 ; 0 ; 0
